language_id,region_id,name
1,1,カントー
1,2,ジョウト
1,3,ホウエン
1,4,シンオウ
1,5,イッシュ
1,6,カロス
1,7,アローラ
1,8,ガラル
1,9,ヒスイ
1,10,パルデア
2,1,Kanto
2,2,Johto
2,3,Hoenn
2,4,Sinnoh
2,5,Unova
2,6,Kalos
2,7,Alola
2,8,Galar
2,9,Hisui
2,10,Paldea
3,1,Kanto
3,2,Johto
3,3,Hoenn
3,4,Sinnoh
3,5,Unys
3,6,Kalos
3,7,Alola
3,8,Galar
3,9,Hisui
3,10,Paldea
4,1,Kanto
4,2,Johto
4,3,Hoenn
4,4,Sinnoh
4,5,Einall
4,6,Kalos
4,7,Alola
4,8,Galar
4,9,Hisui
4,10,Paldea
5,1,Kanto
5,2,Johto
5,3,Hoenn
5,4,Sinnoh
5,5,Unima
5,6,Kalos
5,7,Alola
5,8,Galar
5,9,Hisui
5,10,Paldea
6,1,Kanto
6,2,Johto
6,3,Hoenn
6,4,Sinnoh
6,5,Teselia
6,6,Kalos
6,7,Alola
6,8,Galar
6,9,Hisui
6,10,Paldea
6,1,Kanto
7,2,성도
7,3,호연
7,4,신오
7,5,하나
7,6,칼로스
7,7,알로라
7,8,가라르
7,9,히스이
7,10,팔데아
8,1,カントー
8,2,ジョウト
8,3,ホウエン
8,4,シンオウ
8,5,イッシュ
8,6,カロス
8,7,アローラ
8,8,ガラル
8,9,ヒスイ
8,10,パルデア
9,1,关都
9,2,城都
9,3,丰缘
9,4,神奥
9,5,合众
9,6,卡洛斯
9,7,阿罗拉
9,8,伽勒尔
9,9,洗翠
9,10,帕底亚
10,1,關都
10,2,城都
10,3,豐緣
10,4,神奧
10,5,合眾
10,6,卡洛斯
10,7,阿羅拉
10,8,伽勒爾
10,9,洗翠
10,10,帕底亞
