id,identifier,increased_stat_id,decreased_stat_id,toxel_evo_id,vc_exp_remainder
1,hardy,\N,\N,849,0
2,lonely,2,3,10177,1
3,brave,2,4,849,2
4,adamant,2,8,849,3
5,naughty,2,9,849,4
6,bold,3,2,10177,5
7,docile,\N,\N,849,6
8,relaxed,3,4,10177,7
9,impish,3,8,849,8
10,lax,3,9,849,9
11,timid,4,2,10177,10
12,hasty,4,3,849,11
13,serious,\N,\N,10177,12
14,jolly,4,8,849,13
15,naive,4,9,849,14
16,modest,8,2,10177,15
17,mild,8,3,10177,16
18,quiet,8,4,10177,17
19,bashful,\N,\N,10177,18
20,rash,8,9,849,19
21,calm,9,2,10177,20
22,gentle,9,3,10177,21
23,sassy,9,4,849,22
24,careful,9,8,10177,23
25,quirky,\N,\N,849,24
