month,name,format_id
2014-11-01,gen4ou,11
2014-11-01,gen5ou,15
2014-11-01,lc,27
2014-11-01,monotype,28
2014-11-01,nu,25
2014-11-01,ou,22
2014-11-01,pu,26
2014-11-01,ru,24
2014-11-01,smogondoubles,30
2014-11-01,smogondoublesubers,29
2014-11-01,smogondoublesuu,31
2014-11-01,ubers,21
2014-11-01,uu,23
2014-11-01,vgc2014,32
2014-12-01,gen1ou,2
2014-12-01,gen2ou,5
2014-12-01,gen4ou,11
2014-12-01,gen5ou,15
2014-12-01,lc,27
2014-12-01,monotype,28
2014-12-01,nu,25
2014-12-01,ou,22
2014-12-01,pu,26
2014-12-01,ru,24
2014-12-01,smogondoubles,30
2014-12-01,smogondoublesubers,29
2014-12-01,smogondoublesuu,31
2014-12-01,ubers,21
2014-12-01,uu,23
2014-12-01,vgc2014,32
2014-12-01,vgc2015,33
2015-01-01,gen1ou,2
2015-01-01,gen2ou,5
2015-01-01,gen4ou,11
2015-01-01,gen5ou,15
2015-01-01,lc,27
2015-01-01,monotype,28
2015-01-01,nu,25
2015-01-01,ou,22
2015-01-01,pu,26
2015-01-01,ru,24
2015-01-01,smogondoubles,30
2015-01-01,smogondoublesubers,29
2015-01-01,smogondoublesuu,31
2015-01-01,ubers,21
2015-01-01,uu,23
2015-01-01,vgc2015,33
2015-02-01,gen1ou,2
2015-02-01,gen2ou,5
2015-02-01,gen4ou,11
2015-02-01,gen5ou,15
2015-02-01,lc,27
2015-02-01,monotype,28
2015-02-01,nu,25
2015-02-01,ou,22
2015-02-01,pu,26
2015-02-01,ru,24
2015-02-01,smogondoubles,30
2015-02-01,smogondoublesubers,29
2015-02-01,smogondoublesuu,31
2015-02-01,ubers,21
2015-02-01,uu,23
2015-02-01,vgc2015,33
2015-03-01,gen1ou,2
2015-03-01,gen2ou,5
2015-03-01,gen3ou,8
2015-03-01,gen4ou,11
2015-03-01,gen5ou,15
2015-03-01,lc,27
2015-03-01,monotype,28
2015-03-01,nu,25
2015-03-01,ou,22
2015-03-01,pu,26
2015-03-01,ru,24
2015-03-01,smogondoubles,30
2015-03-01,smogondoublesubers,29
2015-03-01,smogondoublesuu,31
2015-03-01,ubers,21
2015-03-01,uu,23
2015-03-01,vgc2015,33
2015-04-01,doublesou,30
2015-04-01,doublesubers,29
2015-04-01,doublesuu,31
2015-04-01,gen1ou,2
2015-04-01,gen2ou,5
2015-04-01,gen3ou,8
2015-04-01,gen4ou,11
2015-04-01,gen5ou,15
2015-04-01,lc,27
2015-04-01,monotype,28
2015-04-01,nu,25
2015-04-01,ou,22
2015-04-01,pu,26
2015-04-01,ru,24
2015-04-01,ubers,21
2015-04-01,uu,23
2015-04-01,vgc2015,33
2015-05-01,doublesou,30
2015-05-01,doublesubers,29
2015-05-01,doublesuu,31
2015-05-01,gen1ou,2
2015-05-01,gen2ou,5
2015-05-01,gen3ou,8
2015-05-01,gen4ou,11
2015-05-01,gen5ou,15
2015-05-01,lc,27
2015-05-01,monotype,28
2015-05-01,nu,25
2015-05-01,ou,22
2015-05-01,pu,26
2015-05-01,ru,24
2015-05-01,ubers,21
2015-05-01,uu,23
2015-05-01,vgc2015,33
2015-06-01,doublesou,30
2015-06-01,doublesubers,29
2015-06-01,doublesuu,31
2015-06-01,gen1ou,2
2015-06-01,gen2ou,5
2015-06-01,gen3ou,8
2015-06-01,gen4ou,11
2015-06-01,gen5ou,15
2015-06-01,lc,27
2015-06-01,monotype,28
2015-06-01,nu,25
2015-06-01,ou,22
2015-06-01,pu,26
2015-06-01,ru,24
2015-06-01,ubers,21
2015-06-01,uu,23
2015-06-01,vgc2015,33
2015-07-01,doublesou,30
2015-07-01,doublesubers,29
2015-07-01,doublesuu,31
2015-07-01,gen1ou,2
2015-07-01,gen2ou,5
2015-07-01,gen3ou,8
2015-07-01,gen4ou,11
2015-07-01,gen5ou,15
2015-07-01,lc,27
2015-07-01,monotype,28
2015-07-01,nu,25
2015-07-01,ou,22
2015-07-01,pu,26
2015-07-01,ru,24
2015-07-01,ubers,21
2015-07-01,uu,23
2015-07-01,vgc2015,33
2015-08-01,doublesou,30
2015-08-01,doublesubers,29
2015-08-01,doublesuu,31
2015-08-01,gen1ou,2
2015-08-01,gen2ou,5
2015-08-01,gen3ou,8
2015-08-01,gen4ou,11
2015-08-01,gen5ou,15
2015-08-01,lc,27
2015-08-01,monotype,28
2015-08-01,nu,25
2015-08-01,ou,22
2015-08-01,pu,26
2015-08-01,ru,24
2015-08-01,ubers,21
2015-08-01,uu,23
2015-08-01,vgc2015,33
2015-09-01,doublesou,30
2015-09-01,doublesubers,29
2015-09-01,doublesuu,31
2015-09-01,gen1ou,2
2015-09-01,gen2ou,5
2015-09-01,gen3ou,8
2015-09-01,gen4ou,11
2015-09-01,gen5ou,15
2015-09-01,lc,27
2015-09-01,monotype,28
2015-09-01,nu,25
2015-09-01,ou,22
2015-09-01,pu,26
2015-09-01,ru,24
2015-09-01,ubers,21
2015-09-01,uu,23
2015-09-01,vgc2015,33
2015-10-01,doublesou,30
2015-10-01,doublesubers,29
2015-10-01,doublesuu,31
2015-10-01,gen1ou,2
2015-10-01,gen2ou,5
2015-10-01,gen3ou,8
2015-10-01,gen4ou,11
2015-10-01,gen5ou,15
2015-10-01,lc,27
2015-10-01,monotype,28
2015-10-01,nu,25
2015-10-01,ou,22
2015-10-01,pu,26
2015-10-01,ru,24
2015-10-01,ubers,21
2015-10-01,uu,23
2015-10-01,vgc2015,33
2015-11-01,doublesou,30
2015-11-01,doublesubers,29
2015-11-01,doublesuu,31
2015-11-01,gen1ou,2
2015-11-01,gen2ou,5
2015-11-01,gen3ou,8
2015-11-01,gen4ou,11
2015-11-01,gen5ou,15
2015-11-01,lc,27
2015-11-01,monotype,28
2015-11-01,nu,25
2015-11-01,ou,22
2015-11-01,pu,26
2015-11-01,ru,24
2015-11-01,ubers,21
2015-11-01,uu,23
2015-11-01,vgc2015,33
2015-12-01,doublesou,30
2015-12-01,doublesubers,29
2015-12-01,doublesuu,31
2015-12-01,gen1ou,2
2015-12-01,gen2ou,5
2015-12-01,gen3ou,8
2015-12-01,gen4ou,11
2015-12-01,gen5ou,15
2015-12-01,lc,27
2015-12-01,monotype,28
2015-12-01,nu,25
2015-12-01,ou,22
2015-12-01,pu,26
2015-12-01,ru,24
2015-12-01,ubers,21
2015-12-01,uu,23
2015-12-01,vgc2015,33
2015-12-01,vgc2016,34
2016-01-01,doublesou,30
2016-01-01,doublesubers,29
2016-01-01,doublesuu,31
2016-01-01,gen1ou,2
2016-01-01,gen2ou,5
2016-01-01,gen3ou,8
2016-01-01,gen3ubers,7
2016-01-01,gen4ou,11
2016-01-01,gen4uu,12
2016-01-01,gen5ou,15
2016-01-01,gen5ubers,14
2016-01-01,lc,27
2016-01-01,monotype,28
2016-01-01,nu,25
2016-01-01,ou,22
2016-01-01,pu,26
2016-01-01,ru,24
2016-01-01,ubers,21
2016-01-01,uu,23
2016-01-01,vgc2015,33
2016-01-01,vgc2016,34
2016-02-01,doublesou,30
2016-02-01,doublesubers,29
2016-02-01,doublesuu,31
2016-02-01,gen1ou,2
2016-02-01,gen2ou,5
2016-02-01,gen3ou,8
2016-02-01,gen3ubers,7
2016-02-01,gen4ou,11
2016-02-01,gen5ou,15
2016-02-01,gen5ubers,14
2016-02-01,lc,27
2016-02-01,monotype,28
2016-02-01,nu,25
2016-02-01,ou,22
2016-02-01,pu,26
2016-02-01,ru,24
2016-02-01,ubers,21
2016-02-01,uu,23
2016-02-01,vgc2015,33
2016-02-01,vgc2016,34
2016-03-01,doublesou,30
2016-03-01,doublesubers,29
2016-03-01,doublesuu,31
2016-03-01,gen1ou,2
2016-03-01,gen2ou,5
2016-03-01,gen3ou,8
2016-03-01,gen3ubers,7
2016-03-01,gen4ou,11
2016-03-01,gen4ubers,10
2016-03-01,gen5ou,15
2016-03-01,gen5ubers,14
2016-03-01,lc,27
2016-03-01,monotype,28
2016-03-01,nu,25
2016-03-01,ou,22
2016-03-01,pu,26
2016-03-01,ru,24
2016-03-01,ubers,21
2016-03-01,uu,23
2016-03-01,vgc2015,33
2016-03-01,vgc2016,34
2016-04-01,doublesou,30
2016-04-01,doublesubers,29
2016-04-01,doublesuu,31
2016-04-01,gen1ou,2
2016-04-01,gen2ou,5
2016-04-01,gen3ou,8
2016-04-01,gen3ubers,7
2016-04-01,gen4ou,11
2016-04-01,gen4ubers,10
2016-04-01,gen5ou,15
2016-04-01,gen5ubers,14
2016-04-01,lc,27
2016-04-01,monotype,28
2016-04-01,nu,25
2016-04-01,ou,22
2016-04-01,pu,26
2016-04-01,ru,24
2016-04-01,ubers,21
2016-04-01,uu,23
2016-04-01,vgc2015,33
2016-04-01,vgc2016,34
2016-05-01,doublesou,30
2016-05-01,doublesubers,29
2016-05-01,doublesuu,31
2016-05-01,gen1ou,2
2016-05-01,gen2ou,5
2016-05-01,gen3ou,8
2016-05-01,gen3ubers,7
2016-05-01,gen4ou,11
2016-05-01,gen5ou,15
2016-05-01,gen5ubers,14
2016-05-01,lc,27
2016-05-01,monotype,28
2016-05-01,nu,25
2016-05-01,ou,22
2016-05-01,pu,26
2016-05-01,ru,24
2016-05-01,ubers,21
2016-05-01,uu,23
2016-05-01,vgc2015,33
2016-05-01,vgc2016,34
2016-06-01,doublesou,30
2016-06-01,doublesubers,29
2016-06-01,doublesuu,31
2016-06-01,gen1ou,2
2016-06-01,gen1uu,3
2016-06-01,gen2ou,5
2016-06-01,gen3ou,8
2016-06-01,gen3ubers,7
