version_group_id,move_id,stat_id,stages,percent
1,14,2,2,0
1,28,6,-1,0
1,39,3,-1,0
1,43,3,-1,0
1,45,2,-1,0
1,51,3,-1,33
1,61,4,-1,33
1,62,2,-1,33
1,74,5,1,0
1,81,4,-1,0
1,94,5,-1,33
1,96,2,1,0
1,97,4,2,0
1,103,3,-2,0
1,104,7,1,0
1,106,3,1,0
1,107,7,1,0
1,108,6,-1,0
1,110,3,1,0
1,111,3,1,0
1,112,3,2,0
1,132,4,-1,33
1,133,5,2,0
1,134,6,-1,0
1,145,4,-1,33
1,148,6,-1,0
1,151,3,2,0
1,159,2,1,0
2,14,2,2,0
2,28,6,-1,0
2,39,3,-1,0
2,43,3,-1,0
2,45,2,-1,0
2,51,3,-1,33
2,61,4,-1,33
2,62,2,-1,33
2,74,5,1,0
2,81,4,-1,0
2,94,5,-1,33
2,96,2,1,0
2,97,4,2,0
2,103,3,-2,0
2,104,7,1,0
2,106,3,1,0
2,107,7,1,0
2,108,6,-1,0
2,110,3,1,0
2,111,3,1,0
2,112,3,2,0
2,132,4,-1,33
2,133,5,2,0
2,134,6,-1,0
2,145,4,-1,33
2,148,6,-1,0
2,151,3,2,0
2,159,2,1,0
3,14,2,2,0
3,28,6,-1,0
3,39,3,-1,0
3,43,3,-1,0
3,45,2,-1,0
3,51,3,-1,33
3,61,4,-1,33
3,62,2,-1,33
3,74,5,1,0
3,81,4,-1,0
3,94,5,-1,33
3,96,2,1,0
3,97,4,2,0
3,103,3,-2,0
3,104,7,1,0
3,106,3,1,0
3,107,7,1,0
3,108,6,-1,0
3,110,3,1,0
3,111,3,1,0
3,112,3,2,0
3,132,4,-1,33
3,133,5,2,0
3,134,6,-1,0
3,145,4,-1,33
3,148,6,-1,0
3,151,3,2,0
3,159,2,1,0
4,14,2,2,0
4,28,6,-1,0
4,39,3,-1,0
4,43,3,-1,0
4,45,2,-1,0
4,51,3,-1,33
4,61,4,-1,33
4,62,2,-1,33
4,74,5,1,0
4,81,4,-1,0
4,94,5,-1,33
4,96,2,1,0
4,97,4,2,0
4,103,3,-2,0
4,104,7,1,0
4,106,3,1,0
4,107,7,1,0
4,108,6,-1,0
4,110,3,1,0
4,111,3,1,0
4,112,3,2,0
4,132,4,-1,33
4,133,5,2,0
4,134,6,-1,0
4,145,4,-1,33
4,148,6,-1,0
4,151,3,2,0
4,159,2,1,0
5,14,2,2,0
5,28,6,-1,0
5,39,3,-1,0
5,43,3,-1,0
5,45,2,-1,0
5,51,3,-1,10
5,61,4,-1,10
5,62,2,-1,10
5,74,8,1,0
5,81,4,-1,0
5,94,9,-1,10
5,96,2,1,0
5,97,4,2,0
5,103,3,-2,0
5,104,7,1,0
5,106,3,1,0
5,107,7,1,0
5,108,6,-1,0
5,110,3,1,0
5,111,3,1,0
5,112,3,2,0
5,132,4,-1,10
5,133,9,2,0
5,134,6,-1,0
5,145,4,-1,10
5,148,6,-1,0
5,151,3,2,0
5,159,2,1,0
5,178,4,-2,0
5,184,4,-2,90
5,189,6,-1,100
5,190,6,-1,50
5,196,4,-1,100
5,204,2,-2,0
